51,"ZL, Xiren 30. A",胖,phâns,pʰɑnꟲ,,,版,prânʔ,panᴮ,,,
52,"ZL, Qingshi 127. B",縵,mrâns,manꟲ,,,慢,mrâns,manꟲ,,,
53,"ZL, Kaogongji, Zhouren229. A",楗,kanʔ,kɨɑnᴮ,,,蹇,kanʔ,kɨɑnᴮ,,,
54,"ZL, Kaogongji, Baoren 234. A",線,sans,sianꟲ,,,絤,sans,sianꟲ,,,
55,"ZL, Diantong 126. B",韽,ʔə̂m,ʔəm,,,闇,"ʔə̂mʔ, ʔəms",ʔəmᴮ/ꟲ,,,
56,"ZL, Kaogongji, Gongren 249. B*",樴,"tək, də̂k","tśɨk, dək",,,昵,"nrit, nîʔ","ṇit, neiᴮ",,,
57,"ZL, Kaogongji, Jiangren 243. A*",弋,lək,jɨk,,,杙,lək,jɨk,,,
58,"ZL, Dianshi 29. A",莤,??? ,??? ,,,蕭,siû,seu,,,
59,"ZL, Shangshi 128. B",篴,liûk,deuk,,,滌,liûk,deuk,,,
60,"ZL, Shiliao 126. B",鼜,tshiûk,tsʰeuk,,,戚,snhiûk,tsʰek,,,
61,"ZL, Zhanggu 161. B",鼜,tshiûk,tsʰeuk,,,造,tshûh,tsʰouꟲ,,,
62,"ZL, Diantong 126. B",筰,??? ,??? ,,,唶,tsakh,tsiaꟲ,,,
63,"ZL, Dianzhu 138. B",貉,mrâk,mak,,,百,prâk,pak,,,
64,"ZL, Dayu 175. B",軷,bât,bɑt,,,別,bret,bɨat,,,
65,"ZL, Dazhu 135. B",擩,not,ńuat,,,芮,nots,ńuas,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,久
,,,,,,,,,,,,肅
