,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
60,3854a. A,𧡹,ju,ju,,,攸,ju,ju,,,,,,,,,
61,4798b.C ,泑,???,???,,,𣢜,???,???,,,,,,,,,
62,(2635b). A,杽,rhuʔ or nhruʔ,ṭʰuᴮ,,,丑,rhuʔ or nhruʔ,ṭʰuᴮ,,,,,,,,,
63,5800a. A,綹,ruʔ,liuᴮ,,,柳,ruʔ,liuᴮ,,,,,,,,,
64,3893a. B* ,㰶,???,???,,,麔,???,???,,,,,,,,,
65,5225b. A ,䱂,???,???,,,幽,ʔiu,ʔiu,,,,,,,,,
66,670a. A,赳,kiuʔ,kiuᴮ,,,鎬,ɡâuʔ,ɡɑuᴮ,,,,,,,,,
67,2384a. A*,楢,???,???,,,糗,khuʔ,kʰuᴮ,,,,,,,,,
68,242b. A,莠,juʔ,juᴮ,,,酉,juʔ,juᴮ,,,,,,,,,
69,3884a. A,𣣸,juʔ,juᴮ,,,酉,juʔ,juᴮ,,,,,,,,,
70,3609b. A,僇,ruk,liuk,,,雡,ruk,liuk,,,,,,,,,
71,(3323b). A,疛,truʔ,ṭuᴮ,,,紂,???,???,,,,Coblin thinks the initials are voiced,,,,,
72,5638b. A,𡞜,???,???,,,蹴,"tsuk, tshuk","tsiuk, tsʰiuk","tsuk, dzuk","tsiuk, dziuk",,,,,,,
73,2388a. A,椆,???,???,,,丩,kiuʔ,kiuᴮ,,,,,,,,,
74,736a. A,⿺辶𣪘,???,???,,,九,kuʔ / kwəʔ ?,kuᴮ R!,,,,,,,,,
75,1482a. B,齅,hukh,huꟲ,,,畜,hukh,huꟲ,,,,,,,,,
76,4764a. A,忧,wəh,wuəꟲ,,,祐,wəh,wuəꟲ,,,,,,,,,
77,1439b. A,瞗,tiû,teu,,,雕,tiû,teu,,,,,,,,,
78,3037b. A,𠧪,diû,deu,,,調,diû,deu,,,,,,,,,
79,4953b. A,漻,riû,leu,,,牢,rû,lou,,,,,,,,,
80,527b. A,𤘸,???,???,,,滔,lhû,tʰou,,,,,,,,,
81,6231b. A,𠢕,ɡâu,ɡɑu,,,豪,ɡâu,ɡɑu,,,,,,,,,
82,5850a. A,繰,tsâuʔ,tsɑuᴮ,,,喿,sâuh,sɑuꟲ,,繰 has a second reading with initial s- both according to Coblin and Wikipedia,,,,,,,
83,(2486b).A,杲,kûʔ,kouᴮ,,,槀,kûʔ,kouᴮ,,,,,,,,,
84,2097a. A,𧇼,ɡâuʔ,ɡɑuᴮ,,,鎬,ɡâuʔ,ɡɑuᴮ,,,,,,,,,
85,3860a. A,覒,???,???,,,苗,mau,mɨɑu,,,,,,,,,
86,4611a. A,奡,ŋâuh,ŋɑuꟲ,,,傲,ŋâuh,ŋɑuꟲ,,,,,,,,,
87,180a. A,𤩭,???,???,,,鎬,ɡâuʔ,ɡɑuᴮ,,,,,,,,,
88,1063b. A,訬,???,???,,,毚,dzrâm,dẓɛm,,,,,,,,,
89,4468a. A,𤉧,krâu,kauᴮ,,,狡,krâu,kauᴮ,,,,,,,,,
90,1543b. A*,𦋜,???,???,,,到,tâuh,tɑuꟲ,,,,,,,,,
91,325b. A,藨,???,???,,,剽,phiauh,pʰiauꟲ,,,,,,,,,
92,6074b. A,鼂,drau,ḍiɑu,,,朝,drau,ḍiɑu,,,,,,,,,
93,1789a. A,膘,???,???,,,繇,jau,jɑu,,,,,,,,,
