阿	ʔa
文	mun
茂	muh
暮	mah
慕	mah
謀	muə mu
墓	mah
悶	mən
聞	mun
忘	muaŋ
蒙	moŋ
門	mən
問	munh
勿	mut
畝	məʔ moʔ
物	mut
裳	dźaŋ
藻	tsauʔ
喪	saŋ
哭	khok
裙	ɡun
没	muət
牟	mu
武	muaʔ
模	ma mɔ
無	mua
无	mua
務	muoh
霧	muoh
夢	muŋ
鵡	muaʔ
儛	muɑʔ
六	liuk
身	śin
未	mus
味	mus
微	mui
尾	muiʔ
實	źit
箕	kɨə kɨ
密	mɨt
謨	ma mɔ
賣	mɛh
咩	
面	mianh
綿	mian
女	ṇiaʔ
婦	buʔ
那	nɑi nɑ
難	nɑn
乃	nəʔ
奈	nɑs nɑi
儺	nɑi
寧	neŋ
名	mieŋ
魚	ŋɨɑ
中	ṭuŋ
菜	tshəh
七	tshit
諾	nak
南	nəm
冉	ńamʔ
禰	neʔ
年	nen
根	kən
嶺	lieŋʔ
念	nemh
爾	ńeʔ
貳	ńis ńih
二	ńis
仁	ńin
邇	ńeʔ
日	ńit
而	ńə ńɨ
耳	ńəʔ ńɨʔ
珥	ńəh
儞	neʔ
丹	tan
荷	ɡɑiʔ
煮	tśɑʔ
似	ziəʔ
瓊	ɡyeŋ
入	ńip
能	nə nəŋ
廼	nəʔ
笶	śiʔ
箆	bi bei
柔	ńu
蕤	ńui
努	naʔ
農	nouŋ
濃	ṇioŋ noŋ
沼	tśauʔ
宿	siuk siuh
渟	deŋ
潤	ńuinh
野	jaʔ
意	ʔɨəh
於	ʔɨɑ
淤	ʔɨɑ
飫	ʔɨɑh
憶	ʔɨək
應	ʔɨŋh
隠	ʔɨnʔ
音	ʔɨm
磤	
邑	ʔip
乙	ʔɨt
巴	pa
伴	pʰanh
半	panh
叵	
波	pɑi
播	pɑih
幡	pʰuɑn
破	pʰɑih
方	puɑŋ puaŋ
防	buɑŋ
八	pɛt
判	pʰanh
胖	pʰanh
簸	pɑih paiʔ
泮	pʰɑnh
絆	panh
房	buaŋ
泊	bak
盤	ban
皤	bɑi
羽	waʔ
齒	tśhəʔ
葉	jap
者	tśaʔ
博	pak
伯	pak
法	puap
閉	pes pet
閇	pes pet
拜	pɛs
背	bəh pəh
杯	pə
俳	bɛi
沛	pɑs
珮	bəh
戸	ɡɑʔ ɡɔ
綜	tsouŋh
經	keŋ
甕	ʔoŋh
缻	
卑	pie
比	piʔ
必	pit
賓	pin
臂	pieh
避	bieh
譬	pʰieh
嬪	bin
檜	kuɑs kuat
氷	pɨŋ
富	puh
費	pʰus
番	pʰuɑn
蕃	puɑn
朋	bəŋ
裒	po
袍	bou
火	huɑiʔ
焰	ziam zim
帆	buam
品	pʰimʔ
不	pu puʔ
服	buʔ buk
布	pɑh
甫	puɑʔ
賦	puɑh
福	puk
否	puəʔ puʔ
敷	pʰuɑ
赴	pʰuoh
負	buəʔ buʔ
浮	bu
輔	buɑʔ
経	keŋ keŋh
歴	lek
乾	kɑn ɡɨan
鳳	buəmh
弗	put
皮	bɨɑi bɨe
非	pui
斐	pʰuiʔ
飛	pʰui
悲	pɨ
彼	pɨɑiʔ
祕	pɨs
妃	pʰui
被	pʰɨɑi bɨɑih
樋	
熯	hɑnʔ
菩	bo
本	pənʔ
保	pouʔ
寶	pouʔ
譜	
報	pouh
褒	pou
抱	bouʔ
穗	zuis
百	pak
凡	buam
俾	pieʔ
邊	pen
反	puanʔ
返	puanʔ
遍	penh
辧	bɨanh
平	bɨɛŋ
覇	pah pʰak
敝	bias
弊	bias
幣	bias
蔽	pias
陛	beiʔ
鼙	be
鞞	pieʔ
重	ɖioŋʔ ɖioŋ
隔	kɛk
篇	pʰian
羅	lai la
邏	lɑi lɑ
良	liaŋ
浪	laŋ
郎	laŋ
廊	laŋ
莨	lɑŋ
囉	lɑi lɑ
攞	lɑi lɑ
𡤢	
𧟌	
樂	lak
落	lak
覽	lamʔ
藍	lam
濫	lamh
臘	lap
例	lias liah
禮	leiʔ
連	lianʔ
列	liat
烈	liat
戻	let les
黎	lei
廉	liam
利	lih
離	liai
理	liəʔ
里	liəʔ ljɨʔ
隣	lin
唎	
梨	li
釐	liə
慮	liɑh
呂	liɑʔ
侶	liɑʔ
閭	lia
勒	lək
廬	liɑ
稜	lɨŋ
綾	lɨŋ
流	liu
留	liu
琉	
瑠	
屢	lioh
漏	loh
樓	lo
婁	lioʔ lo
蘆	lia
盧	la lɔ
類	luis
鹵	lɑʔ lɔʔ
魯	lɑʔ lɔʔ
露	lah lɔh
沙	s̘ai
佐	tsɑiʔ
左	tsaiʔ
差	tshai
娑	sai
柴	dʑɛ
舎	śaʔ śah
作	tsɑk
紗	
草	tshouʔ
瑳	tshɑiʔ
磋	tshɑi
狹	ɡɛp
猿	wan
相	siaŋ siaŋh
倉	tshaŋ
積	tsiek tsieh
尺	tśhak
釋	śak
跡	tsiak
散	sanʔ sanh
戔	dzan
贊	tsanh
讃	tsanh
雜	dzəp
匝	tsəp
颯	səp
薩	
刷	ṣuat
早	tsouʔ
最	tsuas
斯	sie
齊	dzei
西	sei
洒	ṣɛiʔ
施	śɑi
勢	śas
世	śas
制	tśas
細	seih
栖	sei sen
是	dźeʔ
劑	dzeih
瀬	lɑs
湍	tʰuɑn
脊	tsiek
迫	pak
瞻	tśam
資	tsi
次	tshih tshis
之	tśə
尸	śi
師	ṣi
新	sin
思	siə
四	sis sih
司	siə
志	tśəh
紫	tsieʔ
芝	tśiə
詩	śə
旨	kiʔ tśiʔ
寺	ziəh
指	kiʔ tśiʔ
死	siʔ
此	tshieʔ
時	dźə
偲	siə
詞	ziə
嗣	ziəh
辭	ziə
試	śəh
璽	sieʔ
始	śəʔ
伺	siə siəh
自	dzih
絁	śɑi
茲	dziə tsiə
矢	śiʔ
洎	
爲	wɑi wai
磯	kɨi
鍾	tśoŋ
鐘	tśoŋ
餝	śɨk
色	ṣək
式	śɨk
拭	śɨk
叔	śuk
襲	zip
質	tśit
漆	tshit
曾	tsəŋ
所	ṣɑʔ
增	tsəŋ
噌	səŋ
僧	səŋ
則	tsək
諸	tśɑ
贈	dzəŋh
層	dzəŋ
賊	dzək
苑	ʔyanʔ wunʔ
須	sio
周	tśu
州	tśu
酒	tsiuʔ
洲	tśu
酢	dzɑk
主	tśoʔ
珠	tśo
數	ṣoʔ
種	tśoŋ
衆	tśuŋh
春	tśhuin
秀	siuh
殊	dźo
輸	śo
素	sɑh sɔh
蒭	tṣho
樔	dẓau
簀	tṣɛk
渚	tśɑʔ tśɔʔ
淑	dźuk
駿	tsuinh
蘇	sɑ sɔ
巷	ɡɔŋh
嗽	soh
宗	tsouŋ
祖	tsɑʔ tsɔʔ
泝	sɑh sɔh
十	dźip
多	tɑi tɑ
哆	tśhɑiʔ
侈	tśhai
他	tʰai
託	tʰak
黨	tɑŋʔ
陀	dai
柁	ṭiaiʔ
柂	ṭiaiʔ
駄	
手	śuʔ
當	taŋ
宕	daŋh
宅	ḍak
澹	damʔ damh
淡	damʔ damh
倓	dam damh
覃	dəm
潭	dəm
旦	tanh
但	danʔ
檀	dan
答	təp
塔	tʰap
帶	tas
達	tʰat dat
鞮	te de
弖	teiʔ
天	tʰen
帝	teh
底	
諦	teh
題	de
直	ḍiə ḍɨk
點	temʔ
智	ṭieh
知	ṭie
至	tśis
致	ṭis
恥	ṭhiəʔ
陳	ḍin
笞	ṭʰiə
池	ḍiai
馳	ḍiai
鎭	ṭin
千	tshen
茅	mɔu
血	huet
乳	ńoʔ
