,,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,,,OCM,LHan
50,"ZL, Kaogongji, Ziren 241. B",宏,ɡwrə̂ŋ,ɣuɛŋ,,,,,紘,ɡwrə̂ŋ,ɣuɛŋ,,,,,,,
51,"ZL, Kaogongji,Yunren 235. B",穹,khwəŋ,kʰuŋ,,,,,空,khôŋ,kʰoŋ,,COBLIN HAS 穹 UNASPIRATED,,,,,
52,"ZL, Sìshī 106. A",工,kôŋ = kloŋ,koŋ,,,,,功,kôŋ = kloŋ,koŋ,,,,,,,
53,"ZL, Dazhu 135. A",動,dôŋʔ,doŋᴮ,,,,,董,tôŋʔ,toŋᴮ,,,,,,,
54,"ZL, Mazhi 159. B",綱,kâŋ,kɑŋ,,,,,亢,kâŋ,kɑŋ,,,,,,,
55,"ZL, Kaogongji 221. B",⿰巾㐬,mâŋ,mɑŋ,,,,,芒,mâŋ,mɑŋ,,,,,,,
56,"ZL, Yueshi 122. A",䍿,wâŋ,ɣuɑŋ,,,,,皇,wâŋ,ɣuɑŋ,,,,,,,
57,"ZL, Fubushi 164. B",抗,khâŋh,kʰɑŋꟲ,,,,,亢,khâŋh,kʰɑŋꟲ,,,,,,,
58,"ZL, Kaogongji, Gongren 252. D*",䟫,drâŋ,ḍaŋ,,,,,牚,daŋ = djaŋ,dźɑŋ,,,,,,,
59,"ZL, Kaogongji 221. B",瓬,paŋʔ,puɑŋᴮ,,,,,甫,paʔ,puɑᴮ,,,,,,,
60,"ZL, Kaogongji, Ziren 241. B",牼,"khrə̂ŋ, ɡrə̂ŋ","kʰɛŋ, ɡɛŋ",,,,,鬜,???,???,,,,,,,
61,"ZL, Kaogongji, Lunren 225. D",桯,leŋ,jeŋ,,,,,楹,leŋ,jeŋ,,,,,,,
62,"ZL, Kaogongji, Lunren 223.* 绠讀為關東言餅之餅。",綆,krâŋʔ,kɑŋᴮ,,,,,餅,???,???,,,,,,,
63,"ZL, Kaogongji, Jiangren 246. A",奠,dîns,denꟲ,dêŋh,deŋꟲ,,,停,dêŋ,deŋ,,,"SOMETHING ODD IN THIS LINE, DOUBLE CHECK",,,,
64,"ZL, Zhouren 228. A",頎,khə̂nʔ,kʰənᴮ,,,,,懇,khə̂nʔ,kʰənᴮ,,,,,,,
65,"ZL, Kaogongji, Lunren 223. A",眼,ŋrə̂nʔ,ŋɛnᴮ,,,,,限,ɡrə̂ŋʔ,ɡɛŋᴮ,,,,,,,
66,"ZL, Sijiyan 110. B*",紛,phən,pʰun,,,,,豳,prən,pɨn,,,,,粉,pən,punᴮ
67,"ZL, Baoren 234. B",磷,rins,linꟲ,,,,,鄰,rin,lin,,,,,,,
68,"ZL, Kaogongji, Lunren 223. B*",稹,"tin, tinʔ",tśin(ᴮ),,,,,奠,dîns,denꟲ,dêŋh,deŋꟲ,,,,,
69,"ZL, Kaogongji, Gongren 249. B*",紾,"tənʔ, trenʔ or tranʔ","tśɨnᴮ, ṭɑnᴮ",,,,,抮,???,???,,,,,,,
70,"ZL, Sijiyan 110. B*",純,"tunʔ, tuns",tśuinᴮ/ꟲ,,,,,均,kwin,kuin,,,,,,,
71,"ZL, Changren 107. A",釁,həns,hɨnꟲ,,,,,鰴,???,???,,,,,,,
72,"ZL, Tuxun 54. A",訓,hwəns,hunꟲ,,,,,馴,s-lun,zuin,,,,,,,
73,"ZL, Kaogongji 221. B",韗,wəns,wunꟲ,,,,,運,wəns,wunꟲ,,,,,,,
74,"ZL, Dianrui 111. B",晉,tsins,tsinꟲ,,,,,搢,tsins,tsinꟲ,,,,,,,
75,"ZL, Xiaoxu 125.B",朄,lins,jinꟲ,,,,,引,linʔ,jinᴮ,,,,,,,
76,"ZL, Kaogongji, Zhouren 227. A",典,tə̂nʔ,tenᴮ,,,,,殄,də̂nʔ,denᴮ,,,,,,,
77,"ZL, Zaishi 71.A",壇,dân,dɑn,,,,,廛,dran,ḍian,,,,,,,
78,"ZL, Sifu 115. A",𥹇,???,???,,,,,弁,brans,bɨanꟲ,,,,,,,
79,"ZL, Kaogongji 221. A*",捖,???,???,,,,,刮,kwrât or krôt,kuat,,,,,,,
80,"ZL, Kaogongji, Yeshi 230. A",垸,ɡwân!,ɣuɑn,,,,,丸,wân,ɣuɑn,,,,,,,
81,"ZL, Kaogongji, Shiren 239. B",但,dânʔ,dɑnᴮ,,,,,憚,dâns,dɑnꟲ,,,,,,,
82,"ZL, Kaogongji, Luren 242. B",但,dânʔ,dɑnᴮ,,,,,彈,dâns,dɑnꟲ,,,,,,,
83,"ZL, Daxingren 207. A",裸,kôns,kuɑnꟲ,,,,,灌,kwâns,kuɑnꟲ,,,,,,,
