#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
13	1	阿	 a	 *ʔâ	 *ʔa	 ʔa		 a	 a	 a	 a	 a
39	58	談	 dami	 *lâm	 dam	 dâm		 dan	 tan	 đàm	 đàm	 tam
39	59	弾	 dani	 *dân	 dan	 dân		 damu	 tan	 đàn, đạn, rờn	 đàn	 than
39	60	傳	 de	 *dron	 ḍyan	 ḍjwän		 demu	 ten	 truyền, chuyện	 truyền, truyện	 cyen
39	61	殿	 de	 *təns	 denh	 dienh		 demu	 ten	 điện, đền, Çiếng	 điện, điên, điến, SK: tyen	
39	62	代	 de	 *̂kh	 dəh	 dậih		 dai	 tai	 đại, đời	 đại	 toy
40	63	堤	 de	 *dê	 de	 diei	 tiaj	 tai	 tei	 đê	 đê, đề	 tyey
40	64	提	 de	 *têʔ or dê	 teh, de	 tieih, diei		 dai	 tei	 đê, đề, chề	 đề, thì	 tyey
40	65	低	 de	 *tî	 tei	 tiei		 tai	 tei	 đê	 đê	 tye
40	66	田	 de	 *lîn	 den	 dien		 demu	 ten	 điền, ruộng	 điền	 tyen
41	67	弟	 de	 *dîʔ	 deiʔ	 dieiʔ	 tɦiaj	 dai	 tei	 đệ	 đệ, đễ	 tyey
41	68	泥	 de	 *nî	 nei	 niei	 ndiaj	 nai	 dei	 nệ, nè, nể, nề	 nê, nệ	 ni
42	69	埿	 de	 *nî	 nei	 niei	 ndiaj	 nai	 dei	 nệ, nè, nể, nề	 nê, nệ	 ni
42	70	涅	 de	 *nît	 net	 niet		 neti	 detu	 nát, nít, nét	 nát, niết	 nal, nyel
43	71	耐	 de	 *nə̂h	 nəh	 nậih	 ndəj	 nai, nou	 tai, tou	 nài, nại	 nại	 nay
43	72	遲	 di	 *drih	 ḍih	 ḍi		 di	 ti	 chầy, trì	 chì, trì	 ci
44	73	治	 di	 *drə(h)	 ḍiə(h)	 ḍɨ(h)		 di	 ti	 chệ, trị	 trì, trị	 chi
45	74	地	 di	 *draih	 dih	 dih		 di	 ti	 địa	 địa	 ti
45	75	尼	 di	 *nri	 ṇi	 ṇi	 ndri	 ni	 di	 nầy, ni, nơi, SV: ni, nậc		 ni, nil
45	76	泥	 di	 *nî or *nîh	 nei or neih	 niei	 ndiaj	 nai	 dei	 nê, nệ, nè, nể	 nê, nệ	 ni
45	77	旎	 di	 *nrê	 ṇe	 ṇjeh	 ndeyh	 ni	 di	---	 nỷ	 ni
46	78	膩	 di	 *nris	 ṇis	 ṇih	 ndrih	 ni	 di	---	 nhị	 ni
46	79	道	 di	 *lûʔ	 douʔ	 dâuʔ		 dau	 tau	 đạo, dạo	 đáo, đạo	 two
46	80	路	 di	 *râkh	 lah	 luoh		 ro	 ro	 lộ, trò	 lộ	 rwo
46	81	縢	 do	 *l̂ŋ	 dəŋ	 dəŋ		 dou	 tou	---	 đằng	 tung
47	82	杼	 do	 *draʔ	 ḍiɑʔ	 ḍjwoʔ		 dyo	 tyo	 trữ	 chữ	 cye
48	83	騰	 do	 *l̂ŋ	 dəŋ	 dəŋ		 dou	 tou	---	 đằng	 tung
48	84	藤	 do	 *lə̂ŋ	 dəŋ	 dəŋ		 dou	 tou	 đằng	 đằng	 tung
