,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,OCM,LHan,Notes
55,2A.4b. B; Quewen 6b. C*,宮,kuŋ,kuŋ,,,中,truŋ,ṭuŋ,,,,,,
56,3B.19b. B,仲,druŋh,ḍuŋꟲ,,,中,truŋ,ṭuŋ,,,,,,
57,4B.5b. B,桐,dôŋ,doŋ,,,痛,lhôŋh,tʰoŋꟲ,,,,,,
58,Quewen 2b. E,松,s-loŋ,zioŋ,,,竦,soŋʔ,sioŋᴮ,,,,,,
59,1B10a. C; 2A.4b. A; 2A.5b. B,鐘,toŋ,tśoŋ,,,動,dôŋʔ,doŋᴮ,,,,,,
60,2B.10a. C,雍,ʔoŋ,ʔuoŋ,,,壅,ʔoŋʔ,ʔuoŋᴮ,,,,,,
61,2B.10a. E,雍,ʔoŋ,ʔuoŋ,,,擁,ʔoŋʔ,ʔuoŋᴮ,,,,,,
62,Quewen 6b. C*,堂,dâŋ,dɑŋ,,,明,mraŋ,mɨaŋ,,,,,,
63,4B.10b. B,喪,sâŋ,sɑŋ,,,亡,maŋ,muɑŋ,,,,,,
64,3B.6a. B*,綱,kâŋ,kɑŋ,,,張,traŋ,ṭiɑŋ,,,,,,
65,3A.23b. B,璜,ɡwâŋ,ɣuɑŋ,,,橫,ɡwrâŋ,ɣuaŋ,,,,,,
66,3A.23b. C,璜,ɡwâŋ,ɣuɑŋ,,,光,kwâŋ,kuɑŋ,,,,,,
67,2A.4a. B,庚,krâŋ,kaŋ,,,更,krâŋ,kaŋ,,,,,,
68,2B.12b. C,霜,sraŋ,ṣɑŋ,,,亡,maŋ,muɑŋ,,,,,,
69,3A.23b. C*,璋,taŋ,tśɑŋ,,,明,mraŋ,mɨaŋ,,,,,,
70,3A.20b. B,明,mraŋ,mɨaŋ,,,芒,maŋ,muɑŋ,,,,,,
71,3B.8b. B,兄,hwraŋ,hyaŋ,,,況,hwaŋh,hyɑŋꟲ,,,,,,
72,2A.3b. E,丙,praŋʔ,pɨaŋᴮ,,,炳,praŋʔ,pɨaŋᴮ,,,,,,
73,11B.12a. B,精,tseŋ,tsieŋ,,,靜,dzeŋʔ,dzieŋᴮ,,,,,,
74,3A.20b. B,清,tsheŋ,tsʰieŋ,,,青,tshêŋ,tsʰeŋ,,,,,,
75,3B.8b. B,情,dzeŋ,dzieŋ,,,靜,dzeŋʔ,dzieŋᴮ,,,,,,
76,1B.8a. B*,聲,hjeŋ,śeŋ,,,鳴,mreŋ,mɨɛŋ,,,,,,
77,3B.15b. B,性,seŋh,sieŋꟲ,,,生,sreŋ,ṣeŋ,,,,,,
78,3B.7a. A*,君,kwən,kun,,,羣,ɡwən,ɡun,,,,,,
79,2A.3b. E,春,thun,tśʰuin,,,偆,???,???,,,,,,
80,3B.7a. B,臣,ɡin,ɡin,,,堅,kîn,ken,,,,,,
81,2A.3a. B,寅,"jən, jəi","jɨn, ji",,,演,janʔ,janᴮ ?,,,,,,Coblin says 演 also has an open syllable reading in MC. 
82,3B.9b. C,腎,ɡinʔ,ɡinᴮ,,,寫,saʔ,siaᴮ,,,,,,
83,4A.1a. C,天,thîn,tʰen,,,鎮,trins,ṭinꟲ,,,,,,
84,4A.4a. B,年,nîn,nen,,,仍,ńɨŋ,nəŋ,,,,,,
85,3B.9b. C,肝,kân,kɑn,,,干,kân,kɑn,,,,,,
86,4B.1b. B,冠,kôn,kuɑn,,,𢃩,???,???,,,,,,
87,4B.15a. C,棺,kôn,kuɑn,,,完,gôn,ɣuɑn,,,,,,
88,2B.3a. A,諫,krâns,kɑnꟲ,,,閒,krên,kɛn,"change, alternate",,更,krâŋ,kaŋ,change
89,2B.10b. E,泮,phâns,pʰɑnꟲ,,,半,pâns,pɑnꟲ,,,,,,
