,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
264,5970a. A*,蚳,dri,ḍi,,,祁,ɡri,ɡɨ,,,,,,,,,
265,(975b). B,謘,dri,ḍi,,,遟,dri,ḍi,,,,,,,,,
266,824b. A*,徲,dri,ḍi,,,遲,dri,ḍi,,,,,,,,,
267,5192b. A,𩄚,tsi,tsi,,,資,tsi,tsi,,,,,,,,,
268,183a. C,㺨,si,si,,,私,si,si,,,,,,,,,
269,1545. A,奞,hwi,hui,,,睢,hwi,hui,,,,,,,,,
270,2693b. A,甤,nui,ńui,,,綏,snui,sui,,,,,,,,,
271,4393a. A. alt.,狋,???,???,,,銀,ŋrən,ŋɨn,,,,,,,,,
272,182a. A,琟,wi,wi,,,維,wi,wi,,,,,,,,,
273,1835a. A. alt.,刏,kəi,kɨi,,,㱯,???,???,,,,,,,,,
274,1744b. A,𦠄,ɡəi,ɡɨi,,,畿,ɡəi,ɡɨi,,,,,,,,,
275,6830a. A. alt.*,頎,ɡəi,ɡɨi,,,鬢,pins,pinꟲ,,,,,,,,,
276,5562b. A,㛄,ʔəi,ʔɨi,,,衣,ʔəi,ʔɨi,,,,,,,,,
277,2354a. A,夂,snui,sui,,,黹,triʔ(or trəiʔ),ṭiᴮ,,,,,,,,,
278,1071b. A,䛗,kiʔ,kiᴮ,,,指,kiʔ,kiᴮ,,,,,,,,,
279,5587b. A,嫢,kwiʔ,kwiᴮ,,,癸,kwiʔ,kwiᴮ,,,,,,,,,
280,1418a. B,䀣,pits !,pɨs,,,泌,pits !,pɨs,,,,,,,,,
281,5591b. A,娓,məiʔ,muiᴮ,,,媚,muih,mɨꟲ,,,,,,,,,
282,5284b. A,𦥊,???,???,,,摯,təts,tśih,,,,,,,,,
283,109a. A,自,dzih,dziꟲ,,,鼻,bit,bit,,,,,,,,,
284,389a. A,萃,dzuts,dzuis,,,瘁,dzuts,dzuis,,,,,,,,,
285,4769a. C,悴,dzuts,dzuis,,,萃,dzuts,dzuis,,,,,,,,,
286,218b. D*,丨,???,???,,,囟,sins or səns ?,sinꟲ,,,,,退,thûs,tʰuəs,,
287,5597b.C,𡠗,təts,tśih,,,摯,təts,tśih,,,,,,,,,
288,6338b. A,䥍,tits,tśis,,,至,tits,tśis,,,,,,,,,
289,6138a. A,垍,ɡrəts ?,ɡɨs,,,臮,ɡrəts ,ɡɨs,,,,,,,,,
290,3307a. A,𡬄,ɡwis,ɡuis,,,悸,ɡwis,ɡuis,,,,,,,,,
291,1483a. A,齂,???,???,,,虺,(hməiʔ),huiᴮ,,,,,,,,,
292,3863b. A,䨳,???,???,,,欷,həi,hɨi,,,,,,,,,
293,537b. A,㹃,???,???,,,匪,pəiʔ,puiᴮ,,,,,,,,,
294,899b. A,䠊,???,???,,,匪,pəiʔ,puiᴮ,,,,,,,,,
295,3082a. A*,䆏,???,???,,,靡,mai,mɨɑi,maiʔ,mai,,,,,,,
296,(6550a). A,𥝋,phəts,pʰus,,,費,phəts,pʰus,,,,,,,,,
297,4750b. A,𢖫,???,???,,,顡,???,???,,,,,,,,,
298,3853b. A,𧠟,mî,mei,,,迷,mî,mei,,,,,,,,,
299,4564b. A,奃,-ke,-kie,,,氏,-ke,-kie,,,,,,,,,
300,6353b. A,𨥦,dzîʔ,dzeiᴮ,,,齊,dzîʔ,dzeiᴮ,,,,,,,,,
301,1381b. C,卟,"kî, kîʔ",kei(ᴮ),,,稽,kî,kei,,,,,,,,,
302,2835a. A,郋,—,ɡei,,,奚,ɡê,ɡe,,,,,,,,,
303,2088a. C,豊,rîʔ,leiᴮ,,,禮,rîʔ,leiᴮ,,,,,,,,,
304,4242b.  A,㣇,dîh,deiꟲ,,,弟,dîh,deiꟲ,,,,,,,,,
305,2561b. A,檷,???,???,,,柅,"nriʔ, nrih",ṇiᴮ/ꟲ,,,,,,,,,
306,5783a. A,盭,"rîts, rît","les, let",,,戾,"rîts, rît","les, let",,,,,,,,,
307,6002b. A,蜦,"rîts, rît","les, let",,,戾,"rîts, rît","les, let",,,,,,,,,
