鵠	gouk kouk
橫	guaŋ
鬨	gɔŋᶜ goŋᶜ
戇	hoŋᶜ ṭɔŋᶜ
侯	go
候	goᶜ
喉	go
猴	go
鍭	go goᶜ
后	goᴮ goᶜ
後	goᴮ Ɣoᴮ Ɣoᶜ goᶜ
厚	goᴮ goᶜ
乎	Ɣɑ
呼	hɑ hɑᶜ
渟	hɑ
忽	huət
膴	hɑ muɑᴮ
幠	hɑ
弧	guɑ
狐	guɑ
搰	guət
壺	ga
虎	hɑᴮ
戶	gɑᴮ
怙	gɑᴮ
互	gɑᶜ
枑	gɑᶜ
滬	gɑᴮ
笏	huət
護	guɑᶜ
華	Ɣua
荂	kʰua hyɑ
滑	guat
樺	Ɣuaᶜ
話	guas
畫	Ɣuɛᶜ Ɣuɛk
劃	Ɣuɛk
壞	kuɛiᶜ guɛiᶜ
桓	Ɣuɑn
垸	Ɣuɑn
換	Ɣuɑnᶜ
還	Ɣuan zyan
環	Ɣuan
鐶	Ɣuan
寰	Ɣuan
緩	Ɣuɑnᴮ
幻	Ɣuan
宦	guanᶜ
衁	huɑŋ
荒	huɑŋ
皇	guɑŋ Ɣuɑŋ
煌	guɑŋ Ɣuɑŋ
黃	Ɣuɑŋ
璜	Ɣuɑŋ
蟥	Ɣuɑŋ
灰	huəi
煇	hui
輝	hui
暉	hui
韡	wəiᴮ
徽	hui
麾	hyɑi
撝	hyɑi
墮	hyɑi
隳	hyɑi
毀	hyɑiᴮ
燬	hyɑiᴮ
𤈦	huiᴮ
回	Ɣuəi
虺	huiᴮ
解	gɛᴮ kɛᴮ
薈	Ɂuɑs Ɂos
賄	huəᴮ
誨	huəᶜ
晦	huəᶜ
彙	wus
顪	hyɑs
喙	hyɑs
惠	Ɣwes
婚	huən
昏	huən
閽	huən
魂	Ɣuən
渾	guənᴮ guən
溷	guənᶜ
慁	guənᶜ
困	kʰuənᶜ
佸	guɑt kuɑt
火	huɑiᴮ
夥	guɑiᴮ
或	Ɣuək
惑	Ɣuək
韄	Ɣuak
穫	Ɣuɑk
獲	Ɣuak
擭	Ɣuaᶜ Ɣuak
几	kiᴮ
飢	ki
饑	kii
汲	kip
奇	kiɑi giɑi
基	kiə
箕	kiə
期	giə kiə
雞	ke
積	tsiek tsieᶜ
績	tsek
隮	tsei
霽	tseiᶜ
濟	tseiᶜ tseiᴮ
嚌	dzeiᶜ
幾	kii gii kiiᴮ
畿	gii
圻	gii
機	kii
璣	kii
稽	kei kʰeiᴮ
計	keiᶜ
譏	kii
擊	kek
箍	keᶜ
毄	kʰek
及	gip
吉	kit
佶	git
楔	get set
極	gik
亟	kik
疾	dzit dziᶜ dzit
堲	dzit tsit
即	tsit
切	tsʰet
棘	kik
朸	lik
急	kip
集	dzip
輯	dzip tṣip
雜	dzəp
脊	tsiek dziek
瘠	dziek
膌	dziek
蹐	tsiek
踖	tsiak dziak tsʰiak
藉	dziak dziaᶜ
籍	dziak
楫	tsiap
戢	tṣip
濈	tṣip
机	kiᴮ
己	kiəᴮ
掎	kiɑiᴮ
攲	kʰiɑi
麂	kiᴮ
擠	tseiᴮ
癠	dzei dzeiᴮ dzeiᶜ
秭	tsiᴮ
蟣	kiiᴮ gii
妓	kie gieᴮ
既	kis
訖	kit
暨	gis
徛	giɑiɁ
寄	kiɑiᶜ
忌	giəᶜ
誋	giəᶜ
惎	giəᶜ
紀	kiəᴮ
記	kiəᶜ
季	kwis
揖	tsip tṣip
穄	tsias
跡	tsiek
冀	ki
覬	ki
津	tsin
懠	dzei dzeiᶜ
蹟	tsiek
繼	keᶜ
加	kai
駕	kaiᶜ
嘉	kai
佳	kɛ
夾	kɛp
狹	gɛp
家	ka
嫁	kaᶜ
豭	ka
莢	kep
頰	kep
鋏	kep
甲	kap
鞈	kɛp
嘏	kaᴮ
夏	gaᴮ
稼	kaᶜ
價	kaᶜ
尖	tsiam
鑯	tsiam
銛	siam
堅	ken
掔	kʰen kʰɛn
劼	kʰɛt
肩	ken
姦	kan
訕	ṣanᶜ
間	kɛn kɛnᶜ
閒	kɛn kɛnᶜ gɛn
蕑	kan kɛn
兼	kem kemᶜ
瀸	tsiam
熸	tsiam
潛	dziam dziamᶜ
鞬	kiɑn
韊	lɑn
艱	kɛn
囝	kiɑnᴮ
檢	kiɑmᴮ kiamᴮ
儉	giɑmᴮ
臉	kiamᴮ
錢	dzian tsianᴮ
蹇	kianᴮ
謇	kianᴮ
減	kɛmᴮ
揀	kɛnᴮ
攓	kiɑnᴮ
掀	xiɑn
見	kenᶜ genᶜ
現	genᶜ
俔	genᴮ kʰenᶜ
建	kiɑnᶜ
健	giɑnᶜ
楗	giɑnᴮ
腱	kiɑn giɑnᶜ
俴	dzianᴮ
賤	dzianᶜ
劍	kiɑmᶜ
蔪	dziamᴮ
薦	tsenᶜ dzenᶜ
荐	dzenᶜ
洊	dzenᶜ
監	kamᶜ kam
覽	lɑmᴮ
檻	Ɣamᴮ
江	kɔŋ
將	tsiɑŋ tsiɑŋᶜ tsʰiɑŋ
疆	kiɑŋ
薑	kiɑŋ
匠	dziɑŋᶜ
降	kɔŋ gɔŋ
交	kau
挍	kauᶜ
殽	gau
咬	kau Ɂau ŋauᴮ
蛟	kau
釗	keu kiau tśau
焦	tsiau
樵	dziau
爝	dziɑk dziɑuk
燋	tsiɑk tṣɔk
膠	kɔu kɔuᴮ
憍	kiɑu kiɑuᴮ
嚼	dziɑk dziɑuk
爵	tsiɑk tsiɑuk
祷	kauᴮ
姣	kauᴮ
佼	kauᴮ
僚	leu leuᴮ
絞	kauᴮ
繚	leuᴮ liauᴮ
皎	keiauᴮ keuᴮ
皦	keiauᴮ keuᴮ
角	kɔk
較	kɔk
腳	kiɑk
蹻	kiɑuᴮ
驕	kʰiɑu giɑk
攪	kɔuᴮ
嶠	giɑuᶜ
覺	kɔk kɔuᶜ
叫	keuᶜ
嘂	keuᶜ
噭	kek kiɑuk keuᶜ
教	kauᶜ
髻	kes
節	tset
櫛	tṣɛt
絜	get ket
緳	kʰet get
桀	giat
傑	giat
朅	kʰiɑt
懈	kɛᶜ
介	kɛs
价	kɛs
疥	kɛs
芥	kɛs
界	kɛs
屆	kɛs
借	tsiak tsiaᶜ
戒	kɛᶜ
誡	kɛᶜ
駴	gɛᴮ
斤	kin
今	kim
金	kim
筋	kin
祲	tsim tsimᶜ
緊	kinᴮ
謹	kinᴮ
近	ginᴮ ginᶜ
浸	tsimᶜ
禁	kimᶜ
盡	dzinᴮ
燼	dzinᶜ
進	tsinᶜ
饉	ginᶜ
殣	ginᶜ
墐	ginᶜ
紟	gimᶜ
京	kiaŋ
景	kiaŋᴮ
鯨	giaŋ
荊	kieŋ
經	keŋ keŋᶜ
徑	keŋᶜ
逕	keŋᶜ
陘	geŋ
菁	ts(i)eŋ
青	tsieŋ tseŋ tsʰeŋ
驚	kieŋ guet kuet
敬	kieŋᶜ
警	kieŋᴮ
儆	kieŋᴮ
井	tsieŋᴮ
阱	dzieŋᴮ
頸	kieŋᴮ gieŋ
剄	keŋᴮ
顅	kan kʰen
靜	dzieŋᴮ
靖	dzieŋᴮ
竫	dzieŋᴮ
淨	dzieŋᶜ
脛	geŋᶜ
勁	kieŋ
竟	kiaŋᴮ kiaŋᶜ
境	kiaŋᴮ
鏡	kiaŋᶜ
坰	kweŋ
泂	Ɣueŋᴮ
迥	Ɣueŋᴮ
洵	hwen suin sun suin
憬	kyaŋᴮ
窘	guin
熲	kueŋᴮ
究	kuᶜ
救	kuᶜ
求	gu
鳩	ku
繆	kiu
九	kuᴮ
久	kuᴮ
糾	kiuᴮ
韭	kuᴮ
酒	tsuᴮ
酋	dzu
臼	guᴮ
舅	guᴮ
舊	guᶜ
鵂	hu
就	dzuᶜ
居	kiɑ kiɑᶜ
踞	kiɑᶜ
腒	kiɑ
据	kiɑ
苴	tsʰiɑ
蒩	tsiɑ tsɑ tsʰiɑ
俱	kio
具	gioᶜ
駒	kio
拘	kio
局	giok
橘	kuit
掘	gut
鞠	kuk
鞫	kuk
咀	dziɑᴮ
迎	dzɑk ŋiaŋ ŋiaŋᶜ
筥	kiɑᴮ
籧	kiɑᴮ
矩	kyɑᴮ
嵎	kuɑt ŋio
拒	gɨɑᴮ
柜	kyɑᴮ
渠	gyɑ giɑ giɑ
澮	kuɑs
闕	kʰyɑt gyɑt
巨	gyɑɁ giɑɁ
距	gyɑɁ giɑɁ
沮	dziɑᴮ tsiɑᶜ
懼	gyɑᶜ
瞿	kyɑᶜ
矍	hyɑk
戄	hyɑk
恇	kʰyɑŋ
據	kiɑᶜ
聚	dzioᶜ
族	dzok
最	tsuɑs tsos
稯	tsoŋ
鐫	tsyan tsion
卷	kyanᴮ gyɑn
捲	kyanᴮ
臇	tsyɑnᴮ tsionᴮ
雋	dzionᴮ dzyɑnᴮ
倦	gyanᶜ
決	kuet
袂	mias kuet
厥	kyɑt
蕨	kyɑt
攫	kyɑk
均	kwin
鈞	kwin
旬	zuin
徇	zuinᶜ
殉	zuinᶜ
侚	zuinᶜ
君	kun
軍	kun
郡	gun
濬	sunᶜ suinᶜ
浚	sunᶜ suinᶜ
咯	lɑk
開	kʰəi
闓	kʰəi
愾	kʰəs
刊	kʰɑn
堪	kʰəm
嵁	kʰɛm
戡	kʰəm
勘	kʰəmᶜ
坎	kʰəmᴮ
埳	kʰəmᴮ
歁	kʰəmᴮ
塢	kʰɑmᴮ
顑	həmᶜ kʰəmᴮ
看	kʰɑnᶜ
磡	kʰəmᶜ
嶔	kʰim ŋimᴮ
康	kʰɑŋ
糠	kʰɑŋ
囥	kʰɑŋᶜ
考	kʰouᴮ
薧	kʰɑuᴮ
槁	kʰɑuᴮ
摳	kʰo kʰuo
口	kʰoᴮ
扣	kʰoᴮ kʰoᶜ
叩	kʰoᴮ kʰoᶜ
釦	kʰoᴮ
捆	kʰuənᴮ
寇	kʰoᶜ
枯	kʰɑ
刳	kʰuɑ
哭	kʰok
堀	kʰuət
窟	kʰuət
朏	kʰuət
苦	kʰɑᴮ kʰɑᶜ
庫	kʰɑᶜ
褲	kʰuɑᶜ
誇	kʰua
跨	kʰuaᶜ
快	kʰuaiᶜ
塊	kʰuaih kʰuəih
寬	kʰuɑn
闊	kʰuɑt
窾	kʰuɑnᴮ
匡	kʰyɑŋ
眶	kʰyɑŋ
筐	kʰyɑŋ
狂	gyɑŋᶜ
況	hyɑŋᶜ
于	wɑ
刲	kʰue
巋	kʰui kʰuiɁ
奎	kʰye
頯	gui
馗	gui
夔	gui
犩	ŋui
跬	kʰyeᴮ
匱	gwis
餽	gwih gwis
饋	gwih gwis
昆	kuən
梱	kʰuənᴮ
括	kuɑt
鞹	kʰuɑk
郭	kuɑk
剌	lɑt
臘	lɑp
來	lə mɛk
賚	ləᶜ
蒞	lis
戾	les
鯠	lɑi lə
瀨	lɑs
惏	ləm
婪	ləm
嵐	lɑm
藍	lɑm
蘭	lɑn
瀾	lɑn
闌	lɑn
欄	lɑn
慫	sioŋᴮ tsʰioŋᶜ tsʰoŋᶜ sioŋᴮ
攬	lɑmᴮ
嚂	lɑmᶜ
郎	lɑŋ
筤	lɑŋ
朗	lɑŋᴮ
浪	lɑŋᶜ
牢	lou
勞	lɑu lɑuᶜ
醪	lou
老	louᴮ
酪	lɑk
癆	lɑuᶜ
勒	lək
泐	lək
阞	lək
扐	lək
仂	lək
樂	lɑk liauᶜ ŋɔk
雷	luəi
累	lui luəiᶜ
縲	lui
櫐	luiᴮ
藟	luiᴮ
耒	luiᴮ
磊	luəiᴮ
磥	luəiᴮ
儡	luəiᴮ
淚	lus luis
類	lus luis
酹	los luɑs
儽	luəiᶜ
冷	leŋᴮ
狸	liə
貍	liə li
釐	liə
梨	li
犁	lei
犛	liə
離	liɑi liɑiᶜ
罹	liɑi
籬	liɑi
厲	lias
跟	ṣieᴮ lie
李	liəᴮ
里	liəᴮ
理	liəᴮ
史	ṣəᴮ
使	ṣəᴮ ṣəᶜ
鯉	liəᴮ
禮	leiᴮ
力	lik
立	lip
笠	lip
利	liᶜ
例	lias
栗	lit
慄	lit
勵	lias
糲	lias lɑs
歷	lek
曆	lek
麗	leᶜ
聯	lian
潸	ṣanᴮ ṣɛn ṣan
蓮	len
僆	lian lianᶜ
廉	liam
磏	liam
鎌	liam
芟	ṣam
摲	ṣam
憐	len
怜	leŋ
荵	liŋ
斂	liamᴮ liamᶜ liamᶜ
蘞	liamᴮ
楝	lenᶜ
湅	lenᶜ
練	lenᶜ lėn
鍊	lenᶜ
僩	gɛnᴮ
嫻	gɛn
俍	liɑŋ
爽	ṣɑŋᴮ
梁	liɑŋ
涼	liɑŋ
霜	ṣɑŋ
量	liɑŋ liɑŋᶜ
糧	liɑŋ
粻	ṭɑŋ
兩	liɑŋᴮ
輛	liɑŋᶜ
亮	liɑŋᶜ
獠	leu
聊	leu
膋	leu
腴	jo
料	leuᶜ
燎	leuᶜ
療	liauᶜ
列	liat
烈	liat
冽	liat
颲	liat
茢	liat
劣	liot lyat
躐	liap
獵	liap
鬣	liap
林	lim
森	ṣim
嗿	tʰəmᴮ
淋	lim
霖	lim
臨	lim limᶜ
鱗	lin
廩	limᴮ
懍	limᴮ
吝	linᶜ
鈴	leŋ
陵	liŋ
泠	liŋ
霝	leŋ
零	leŋ
靈	leŋ
領	lieŋᴮ
令	lieŋ lieŋᶜ
留	lu
劉	lu
戮	luk
流	l(i)u
六	luk
溜	r(i)u
翏	liuᶜ
飂	liuᶜ
隆	luŋ
龍	lioŋ mɔŋ
籠	loŋ loŋᶜ
聾	loŋ
壟	lioŋᴮ
隴	lioŋᴮ
弄	loŋᶜ
婁	loᴮ lio
塿	loᴮ
僂	lioᴮ lo
漏	loᶜ
漉	lok
䍡	lok
中	luɑn lon ṭuŋ ṭuŋᶜ
鏤	loᶜ
盧	lɑ
壚	lɑ
玈	lɑ
廬	liɑ
蘆	liɑ
顱	lɑ
鹵	lɑᴮ
魯	lɑᴮ
櫓	lɑᴮ
彔	lok
錄	liok
陸	luk
路	lɑᶜ
簬	lɑᶜ
露	lɑᶜ
鷺	lɑᶜ
鹿	lok
摝	lok
麓	lok
越	wɑt
僇	luk
臾	jo
驢	liɑ
旅	liɑᴮ
呂	liɑᴮ
律	luit lut
率	ṣuis ṣuit luit
帥	ṣuis ṣuit luit ṣuis ṣus
慮	liɑ liɑᶜ
勴	liɑᶜ
繂	luit
欒	luɑn lon
臠	luɑn lon
鑾	luɑn lon
孿	ṣuanᶜ
卵	luɑnᴮ lonᴮ
亂	luɑnᶜ lonᶜ
掠	liɑŋᶜ liɑk
略	liɑŋᶜ liɑk liɑk
論	luən lun luənᶜ
輪	lun
綸	lun kuan
捋	luɑt lot
螺	luɑi loi
羅	lɑi
籮	lɑi
裸	luɑiᴮ loiᴮ
烙	lɑk
硌	lɑk
絡	lɑk
落	lɑk
雒	lɑk
麻	mai
馬	maᴮ
禡	maᶜ
買	mɛᴮ
賣	mɛᶜ juk
脈	mɛk
麥	mɛk
邁	mas
勱	mas
瞞	mɑn
慢	manᶜ
嫚	manᶜ
曼	muɑnᶜ mɑnᶜ
漫	mɑnᶜ
謾	mian mɑn mɑnᶜ man manᶜ
芒	muɑŋ mɑŋ huɑŋ
鋩	muɑŋ
茫	muɑŋ mɑŋ huɑŋ
盲	maŋ
蘉	mɑŋ
尨	mɔŋ
莽	mɑŋᴮ mɑᴮ
蟒	mɑŋᴮ
貓	mau
毛	mɑu
世	mouᶜ śas
帽	mouᶜ
冒	mouᶜ mək
懋	moᶜ
沒	muət
枚	məi
眉	mi muiᴮ
湄	mi
楣	mi
梅	mə
脢	mə məh
媒	mə
禖	mə
腜	mə
煤	mə
美	miᴮ
每	məᴮ
沬	mɑs
昧	məs
寐	mis
魅	mis
銀	mas mɑt ŋin
痗	huəᶜ məᶜ
門	mən
捫	mən
揗	źuinᴮ źuinᶜ
悶	mən mənᶜ
殙	huən
虻	maŋ
氓	mɛŋ
盟	miaŋ
萌	mɛŋ
夢	moŋ muŋ muŋᶜ
矇	moŋ
蒙	moŋ
幪	moŋᴮ
濛	moŋ
黽	mɛŋᴮ
孟	maŋᶜ
迷	mei
謎	meiᶜ
眯	meiᴮ
麋	mi
彌	mie
弭	mieᴮ
敉	mieᴮ
麑	ŋe mie me
麛	ŋe mie me
糜	miai
米	meiᴮ
羋	mieᴮ
渳	mieᴮ
靡	miɑiᴮ
麼	miɑiᴮ
密	mit
蜜	mit
冪	mek
冥	mek meŋ meŋᴮ meŋ
幭	met
覓	mek
瞑	men meŋ menᶜ
眠	men
綿	mian
棉	mian
勉	mianᴮ
娩	mianᴮ
冕	miɑnᴮ
偭	mianᴮ
湎	mianᶜ
面	mianᶜ
眇	miauᴮ
杪	miauᴮ
妙	miauᶜ
廟	miɑuᶜ
滅	miat
蔑	met
衊	met
民	min
泯	mɨn mɨnᴮ
緡	mɨn
痻	mɨn
愍	mɨn mɨnᴮ
憫	mɨn mɨnᴮ
忞	mɨn
閔	mɨnᴮ
暋	mɨnᴮ
敃	mɨnᴮ
敏	mɨᴮ mɨnᴮ
閩	mɨn
皿	mɨaŋᴮ
命	mieŋᶜ
銘	meŋ
溟	meŋ
明	miaŋ
鳴	mieŋ
謬	miuᶜ
摩	mɑi
磨	mɑi
詛	mɑiᶜ
謨	mɑ
譕	muɑ
末	mɑt
莫	mɑk mɑᶜ
瞙	mɑk
暯	mɑk
纆	mək
默	mək
嘿	mək
侔	mu mo
眸	mu
謀	mu
鍪	mu
牡	moᴮ
某	moᴮ
瞀	mɔk moᶜ
母	moᴮ
姆	moᴮ
畝	moᴮ
木	mok
目	muk
牧	muk
暮	mɑᶜ
墓	mɑᶜ
慕	mɑᶜ
憮	muɑᴮ
吶	ńot nuət ńuat
訥	ńot nuət ńuat
納	nəp
若	ńiɑk ńɑk
乃	nəᴮ
嬭	neiᴮ
奈	nɑs
柰	nɑs
鼐	nəᴮ nəᶜ
南	nəm
男	nəm
難	nɑn nɑnᶜ
赧	ṇanᴮ
揇	nəmᴮ
囊	nɑŋ
曩	nɑŋᴮ
呶	ṇau
怓	ṇau
猱	nou
獶	nou
夒	nou
獿	nou
淖	ṇauᶜ
擾	ńauᴮ
惱	nɑuᴮ
澗	nuan nuanᶜ
腦	nɑuᴮ nouᴮ
餒	nuəiᴮ
內	nuəis nuəs
能	nə nəŋ
態	tʰəᶜ
尼	ṇi
濘	neŋᶜ
怩	ṇi
踂	ṇap
躡	ṇap
鑷	ṇap
孽	ŋiɑt
糱	ŋiɑt
齧	ŋet
寧	neŋ
凝	ŋiəŋ
佞	neŋᶜ
牛	ŋiu ŋu
狃	ṇuᴮ
紐	ṇuᴮ
忸	ṇuk
糅	ṇuᶜ hyɑt
農	nouŋ
濃	nouŋ ṇoŋ
醲	nouŋ ṇoŋ
膿	nouŋ ṇoŋ
醹	ńo ńoᴮ
穠	ṇoŋ ńoŋ
氄	ńoŋᴮ
茸	ńoŋ
茙	ńuŋ
耨	nouk noᶜ
奴	nɑ
孥	nɑ
弩	nɑᴮ
努	nɑᴮ
怒	nɑᶜ
女	ṇɑᴮ ṇɑᶜ
煖	nonᴮ nuɑnᴮ hyɑn
渜	nonᴮ nonᶜ nuɑnᴮ nuɑnᶜ
醐	nonᶜ nuɑnᶜ
虐	ŋiɑk
瘧	ŋiɑk
儺	nɑ
諾	kʰieᶜ nɑk
懦	ńo
甌	Ɂo
嘔	Ɂoᴮ
偶	ŋoᴮ
遇	ŋioᶜ
喁	ŋioŋ ŋio
漚	Ɂoᶜ
渥	Ɂɔk
怖	pʰɑᶜ
箄	bɛ
潘	pʰɑn
般	bɑn
蟠	bɑn
傍	bɑŋ
胖	bɑn
匏	bɔu
胚	pʰə
噴	pʰən pʰənᶜ
歕	pʰən pʰənᶜ
芃	boŋ buŋ
朋	bəŋ
蓬	boŋ
匹	pʰit
鴄	pʰit
披	pʰiai
劈	pʰek
皮	biɑi
膍	bi bei bi
毘	bi
毗	bi
貔	bi
脾	bie
疲	biɑi
庀	pʰiᴮ pʰieᴮ
屁	pʰiᶜ
擗	biek
譬	pʰieᶜ
闢	biek
副	pik pʰik
偏	pʰian
諞	bian bianᴮ
漂	pʰiau
飄	biau piau
薸	biau
貧	bin
品	pʰimᴮ
牝	binᴮ biᴮ
平	bieŋ
坪	bieŋ
評	bieŋ
萍	beŋ
蓱	beŋ
瓶	beŋ
缾	beŋ
軿	beŋ
馮	biŋ
憑	biŋ
浡	bət
皤	bɑi
破	pʰɑiᶜ
魄	pʰak
剖	pʰoᴮ
僕	bok
樸	pʰɔk
蒲	bɑ
浦	pʰɑᴮ
暴	bok
七	tsʰit
咠	tsʰip
颯	səp
妻	tsʰei tsʰeiᶜ
淒	tsʰei
悽	tsʰei
漆	tsʰit
倛	kʰiə
僛	kʰiə
欺	kʰiə
諆	kʰiə
祁	gi
祈	gii
旂	gii
歧	gie
岐	gie
騎	giɑi giɑiᶜ
其	giə
旗	an giə
萁	gɨə
耆	gi
鰭	gi
鬐	gi
齊	dzei tsi
艩	dzei
乞	kʰit kʰis
杞	kʰiəᴮ
芑	kʰiəᴮ
起	kʰiəᴮ
企	kʰieᴮ kʰieᶜ
跂	kʰieᴮ kʰieᶜ
啟	kʰeiᴮ
綮	kʰeiᴮ kʰeŋᴮ
凵	kʰɛt
契	kʰeis kʰes
鍥	kʰet
迄	hit
氣	his kʰis
餼	his
泣	kʰɨp Ɂyɑnᴮ Ɂionᴮ
湇	kʰip
葺	tsʰip
千	tsʰen tsʰein
鉛	jon jyan
愆	kʰiɑn
搴	kiɑnᴮ kʰɔŋ
牽	kʰen kʰein
弦	gein gen
僉	tsʰiam
謙	kʰem
歉	kʰɛmᴮ kʰɛmᶜ
拑	giɑm
鉗	giɑm
箝	giɑm
前	dzein dzen
黔	giam giəm
遣	kʰianᴮ khianᶜ
淺	tsʰianᴮ
諓	dzianᴮ dzianᶜ
慊	kʰemᴮ kʰep
愜	kʰep
嗛	gemᴮ kʰemᴮ
欠	kʰiɑmᶜ
倩	tsʰenᶜ
綪	tsʰenᶜ
騂	sieŋ
羌	kʰiɑŋ
椌	kʰɔŋᶜ
強	an giɑŋ
勍	giaŋ
繈	kɨɑŋ
襁	kɨɑŋ
骹	kʰau
磽	kʰau kʰeuᴮ
墝	kʰau kʰeuᴮ
厭	Ɂɛmᴮ kʰeu
喬	giɑu
橋	giɑu kiɑuᶜ
僑	gɨɑu
竅	kʰeuᶜ
且	tsʰiaᴮ
竊	tsʰet
侵	tsʰim
綅	tsʰim
衾	kʰim
親	tsʰin
秦	dzin
屋	gin Ɂok
勤	gin
慬	gin
禽	gim
擒	gim
坅	kʰimᴮ
寢	tsʰimᴮ
清	tsʰieŋ
醒	seŋ seŋᴮ seŋᶜ
輕	kʰieŋ kʰieŋᶜ
傾	kʰyeŋ
頃	kʰyeŋ
情	dzieŋ
請	tsʰieŋᴮ
凊	tsʰieŋᶜ
慶	kʰiaŋᶜ
磬	kʰeŋᶜ
穹	kʰuŋ
邛	gioŋ
窮	guŋ
惸	gueŋ
嬛	gueŋ
瞏	gueŋ
丘	kʰu
秋	tsʰu
俅	gu
球	gu
逑	gu
仇	gu
裘	gu
泅	ziu
虯	kiu giu
觓	kiu giu
觩	kiu giu
遒	dziu
曲	kʰiok
屈	kʰut
軀	kʰio
驅	kʰio kʰioᶜ
虛	kʰiɑ hiɑ
墟	kʰiɑ
佢	giɑ
臞	gyɑ gyɑᶜ
尪	Ɂwɑŋ
衢	gyɑ
取	tsʰio
娶	tsʰioᶜ
去	kʰiɑᶜ kʰiɑᴮ
趣	tsʰioᶜ
棬	kʰyɑn
全	dzyan dzion
犈	dzyan dzion
痊	tsʰyan tsʰion
泉	dzyan
拳	gyɑn
彷	gyɑn gion
犬	kʰuenᴮ
畎	kuenᴮ
甽	kuenᴮ
缺	kʰuet kʰyat
群	gun
然	ńan
煽	śanᶜ
呥	ńam
染	ńamᴮ ńamᶜ
瀼	ńɑŋ
穰	ńɑŋ
壤	ńɑŋᴮ
讓	ńɑŋᶜ
攘	ńɑŋ
禳	ńɑŋ
襄	siɑŋ
橈	ńau
蕘	ńau
燒	tśʰau śau
熱	ńat
人	ńin
仁	ńin
任	ńim ńimᶜ ńimᴮ
紝	ṇim ńim
忍	ńin
稔	ńimᴮ
荏	ńimᴮ
認	ńinᶜ
仍	ńiŋ
日	ńit
容	joŋ
溶	joŋ
涌	joŋᴮ
湧	joŋᴮ
洶	hioŋ hioŋᴮ
融	juŋ
戎	ńuŋ
榮	waŋ
柔	ńu
揉	ńuᶜ
蹂	ńu ńuᴮ ńuᶜ
肉	ńuk ńuᶜ
如	ńɑ ńɑᶜ
茹	ńɑᴮ ńɑᶜ ńɑᶜ ńɑᴮ
臑	ńo
孺	ńoᶜ
濡	ńo
擩	ńot ńuat
溽	ńok
汝	ńɑᴮ
乳	ńoᴮ
辱	ńok
入	ńip
洳	ńɑ ńɑᶜ
耎	ńuanᴮ ńonᴮ
軟	ńuanᴮ ńonᴮ
蕤	ńui
緌	ńui
繠	ńuieᴮ ńuiᴮ
蕊	ńuieᴮ ńuiᴮ
枘	ńuaiᶜ
閏	ńuinᶜ ńunᶜ
箬	ńɑk
弱	ńɑk ńɑuk
爇	ńot ńuat
撒	sɑt
洒	ṣɛiᴮ seiᴮ
灑	ṣɛᴮ ṣɛᶜ
思	siə siəᶜ
塞	sək səᶜ
三	sɑm sɑmᶜ
犙	ṣu
驂	tsʰəm
散	sɑnᴮ sɑnᶜ
糝	səmᴮ
喪	sɑŋ sɑŋᶜ
桑	sɑŋ
顙	sɑŋᴮ
搔	sou
埽	souᴮ souᶜ
騷	sou
慅	tsʰouᴮ
懆	tsʰɑuᴮ
踧	tsuk
臊	sɑu
鱢	sɑu tsʰɑu
嫂	souᴮ
色	ṣik ṣək
澀	ṣip
穡	ṣik ṣək
嗇	ṣik ṣək
沙	ṣai
殺	ṣat sɛt
歃	ṣap ṣɛp
廈	gaᴮ
翣	ṣap
篩	ṣi
曬	ṣeᶜ
山	ṣɛn ṣan
燧	ṣam
閃	śamᴮ
覢	śamᴮ
扇	śanᶜ
墠	dźanᴮ
善	dźanᴮ
膳	dźanᶜ
繕	dźanᶜ
蟺	dźanᴮ
傷	śɑŋ
湯	tʰɑŋ
商	śɑŋ
賞	śɑŋᴮ
上	dźɑŋᴮ dźɑŋᶜ
梢	ṣau
稍	ṣauᶜ
揱	seu ṣau ṣɔk
杓	dźɑk
汋	tśɑk
少	śauᴮ śauᶜ
賒	śa
貰	śas dźaᶜ
畬	jɑ śa
舌	źat
蛇	źa
舍	śaᴮ śaᶜ
捨	śaᴮ
社	dźaᴮ
說	śos śuɑs śot śuat śos śuas
赦	śaᶜ
涉	dźap
射	źɑk źak źaᶜ
設	śat
懾	tśap śap
慹	tśap
攝	śap
麝	źaᶜ
誰	dźui
孰	dźuk
申	śin
伸	śin
呻	śin
身	śin
深	tśʰim śim śimᶜ
賢	śimᴮ
莘	ṣin
詵	ṣin
神	źin hioŋ
矧	śinᴮ
哂	śinᴮ
審	śimᴮ
腎	ginᴮ
蜃	dźinᶜ
葚	dźimᴮ źimᴮ
生	ṣɛŋ
甥	ṣɛŋ
笙	ṣɛŋ
聲	śeŋ
勝	śiŋ śiŋᶜ
繩	źiŋ
聖	śeŋᶜ
唾	tʰuɑiᶜ tʰoiᶜ
尸	śi
失	śit
佚	jit
逸	jit
虱	ṣit
師	ṣi
溼	śip tśʰip
隰	zip
詩	śə
釃	ṣe
十	gip dźip
石	dźak
拾	gip
食	źik ziəᶜ
飼	ziəᶜ
胎	tʰə
姼	dźɑi dźɑiᴮ taiᴮ
時	dźə
榭	ziaᶜ
寔	dźik
實	dźit źit
矢	śiᴮ
豕	śɑiᴮ śeᴮ
屎	śiᴮ
士	dẓəᴮ
仕	dẓəᴮ
